,Loss,Binary Accuracy,Precision,Recall,F1-score,AUC
es_en,0.2862584888935089,0.5687500238418579,0.5676340460777283,0.5770000219345093,0.5722787154263206,0.6019154787063599
es_cl1,0.1954517811536789,0.635956883430481,0.6326125860214233,0.6485661864280701,0.640490056852684,0.7603009939193726
es_cl2,0.31857171654701233,0.5094568133354187,0.509267270565033,0.519683301448822,0.5144225654475911,0.522938072681427
en_es,0.2979646623134613,0.5899180173873901,0.5907962322235107,0.5850819945335388,0.5879252290699142,0.6250603199005127
en_cl1,0.2313886135816574,0.6827333569526672,0.6855254769325256,0.6752084493637085,0.6803278515129183,0.720488965511322
en_cl2,0.33713310956954956,0.5395865440368652,0.539982259273529,0.5346382260322571,0.5372969548495828,0.538475751876831
cl1_es,0.36868852376937866,0.5573770403862,0.557947039604187,0.5524590015411377,0.5551894586139439,0.5916275978088379
cl1_en,0.36733996868133545,0.5700416564941406,0.5706599354743958,0.565666675567627,0.5681523347999817,0.6288832426071167
cl1_cl2,0.3933960795402527,0.5281504392623901,0.5284444689750671,0.5229821801185608,0.5256991359205424,0.5310309529304504
cl2_es,0.3114640712738037,0.5911475419998169,0.5904948115348816,0.5947540998458862,0.592616802640994,0.6380307674407959
cl2_en,0.3184809684753418,0.5843750238418579,0.5838093161582947,0.5877500176429749,0.5857730393540209,0.628007173538208
cl2_cl1,0.17920421063899994,0.7616941332817078,0.7571699619293213,0.7704901099205017,0.7637719646478727,0.8058742880821228
clT_es,0.30632710456848145,0.5934426188468933,0.5926527976989746,0.5977049469947815,0.5951681511109215,0.6470292210578918
clT_en,0.32336294651031494,0.5801666378974915,0.5798075199127197,0.5824166536331177,0.58110915808716,0.635988175868988
