,accuracy,precision,recall,f1,AUC
es_en,0.6489166666666667,0.5974178403755869,0.504659924648027,0.5471353326883802,0.6290728112531496
es_cl1,0.6958511287370348,0.09678522571819426,0.4470774091627172,0.15912285633961204,0.5800216955606
es_cl2,0.6102925005498131,0.5826513911620295,0.5146987951807229,0.5465711361310134,0.6026163878816236
es_hatecheck,0.5532710280373832,0.8165016501650165,0.46998480243161095,0.5965758379551482,0.6101047102903787
en_es,0.639672131147541,0.5618456766188445,0.5756853396901073,0.5686813186813188,0.6301535824880902
en_cl1,0.7841163310961968,0.09773218142548597,0.2859399684044234,0.14567404426559358,0.552164636957347
en_cl2,0.5819221464702001,0.5579227696404794,0.403855421686747,0.4685490634610009,0.5676235037236323
en_hatecheck,0.4520694259012016,0.8072033898305084,0.28951367781155013,0.42617449664429524,0.5629958326164669
cl1_es,0.589672131147541,0.5083932853717026,0.1684545093365117,0.25305878842136675,0.5270126300520125
cl1_en,0.5886666666666667,0.5276771857216761,0.20226055919095776,0.2924311926605504,0.5355129157892405
cl1_cl2,0.6272267429074114,0.6923076923076923,0.3296385542168675,0.446620959843291,0.6033306039692752
cl1_hatecheck,0.40907877169559415,0.8497495826377296,0.19338905775075987,0.31507273290003096,0.5562632620290189
cl2_es,0.5898360655737704,0.5040650406504065,0.3694874851013111,0.42640990371389265,0.5570574461509904
cl2_en,0.5858333333333333,0.5126166609056343,0.2940709894903827,0.3737399193548387,0.5456987116490292
cl2_cl1,0.5406752084604434,0.09132996632996633,0.6856240126382307,0.16118848653667595,0.6081635985373525
cl2_hatecheck,0.5663551401869159,0.8268482490272373,0.4844224924012158,0.610924772400575,0.622265154556403
clT_hatecheck,0.5222963951935915,0.8280155642023346,0.40425531914893614,0.5432729129435792,0.6028464376517367
