,accuracy,precision,recall,f1,AUC
es_en,0.6885,0.6739536123700347,0.5012889153281777,0.5749374573572891,0.6627473755884815
es_cl1,0.8126906650396584,0.12289457267623206,0.31121642969984203,0.17620751341681576,0.5792034762345531
es_cl2,0.6463602375192434,0.6367896895137668,0.523855421686747,0.574828133262824,0.636523180099037
en_es,0.7149180327868853,0.720771850170261,0.5045689312673818,0.5935966347277402,0.6836269160941988
en_cl1,0.8495017286963595,0.11949685534591195,0.21011058451816747,0.15234822451317298,0.5518002112896239
en_cl2,0.6683527600615791,0.7593778591033852,0.4,0.523989898989899,0.6468042071197411
cl1_es,0.5885245901639344,0.5777777777777777,0.010329757647993643,0.02029664324746292,0.5025134693905612
cl1_en,0.5800833333333333,0.5277777777777778,0.007535197303192544,0.014858260019550346,0.501324016647859
cl1_cl2,0.5542115680668572,0.8076923076923077,0.030361445783132532,0.05852299117510451,0.5121467423090419
cl2_es,0.6744262295081968,0.62882096069869,0.5148986889153755,0.5661861074705111,0.6506952277956727
cl2_en,0.6996666666666667,0.6865439460720767,0.5250842752329963,0.5950561797752808,0.6756512363659593
cl2_cl1,0.6462273744152939,0.10992324561403509,0.6334913112164297,0.18733940668068208,0.6402974434573617
