,accuracy,precision,recall,f1,AUC
es_en,0.6885,0.6739536123700347,0.5012889153281777,0.5749374573572891,0.6627473755884815
es_cl1,0.8126906650396584,0.12289457267623206,0.31121642969984203,0.17620751341681576,0.5792034762345531
es_cl2,0.6463602375192434,0.6367896895137668,0.523855421686747,0.574828133262824,0.636523180099037
en_es,0.729344262295082,0.6910856134157105,0.6221692491060786,0.6548191511603595,0.7134011191106726
en_cl1,0.8249949155989424,0.11904761904761904,0.2685624012638231,0.16496846191169334,0.5659190660813193
en_cl2,0.6703320870903893,0.7162162162162162,0.4597590361445783,0.5600234810683886,0.6534232073926775
cl1_es,0.5873770491803278,0.0,0.0,0.0,0.5
cl1_en,0.57975,0.0,0.0,0.0,0.5
cl1_cl2,0.5436551572465361,0.0,0.0,0.0,0.5
cl2_es,0.6660655737704918,0.6185770750988142,0.4974175605880016,0.5514203919841444,0.640977828577562
cl2_en,0.7014166666666667,0.7147058823529412,0.4818560380725758,0.5756247779225393,0.6712140618708431
cl2_cl1,0.6261948342485255,0.10572687224669604,0.6445497630331753,0.18165627782724844,0.6347409178169898
